Time;Input;Output;glbl_monitor[0]
0.0260419436;0.4917562008;-0.3868410587;0.2000000477;0
0.0260627773;0.9500000477;-0.4360105991;0.2000000477;0
0.0260836110;1.343502998;-0.4554667473;0.2000000477;0
0.0261044446;1.645448208;-0.4438836575;0.2000000477;0
0.0261252783;1.835259199;-0.4020507336;0.2000000477;0
0.0261461120;1.900000095;-0.3328187466;0.2000000477;0
0.0261669457;1.835259199;-0.2409055233;0.2000000477;0
0.0261877794;1.645448208;-0.1325750351;0.2000000477;0
0.0262086131;1.343502998;-0.01520991325;0.2000000477;0
0.0262294468;0.9500000477;0.1031918526;0.2000000477;0
0.0262502804;0.4917562008;0.2145614624;0.2000000477;0
0.0262711141;0;0.3113090992;0.2000000477;0
0.0262919478;-0.4917562008;0.3868415356;0.2000000477;0
0.0263127815;-0.9500000477;0.4360113144;0.2000000477;0
0.0263336152;-1.34350276;0.455467701;0.2000000477;0
0.0263544489;-1.645448208;0.4438848495;0.2000000477;0
0.0263752826;-1.835258961;0.4020521641;0.2000000477;0
0.0263961162;-1.899999857;0.3328204155;0.2000000477;0
0.0264169499;-1.835258961;0.2409074306;0.2000000477;0
0.0264377836;-1.645448208;0.1325771809;0.2000000477;0
0.0264586173;-1.34350276;0.01521205902;0.2000000477;0
0.0264794510;-0.9500000477;-0.1031897068;0.2000000477;0
0.0265002847;-0.4917562008;-0.2145593166;0.2000000477;0
0.0265211184;0;-0.3113069534;0.2000000477;0
0.0265419520;0.4917562008;-0.3868393898;0.2000000477;0
0.0265627857;0.9500000477;-0.4360091686;0.2000000477;0
0.0265836194;1.343502998;-0.4554655552;0.2000000477;0
0.0266044531;1.645448208;-0.4438827038;0.2000000477;0
0.0266252868;1.835259199;-0.4020500183;0.2000000477;0
0.0266461205;1.900000095;-0.3328182697;0.2000000477;0
0.0266669542;1.835259199;-0.2409052849;0.2000000477;0
0.0266877878;1.645448208;-0.1325750351;0.2000000477;0
0.0267086215;1.343502998;-0.01521015167;0.2000000477;0
0.0267294552;0.9500000477;0.1031913757;0.2000000477;0
0.0267502889;0.4917562008;0.2145607471;0.2000000477;0
0.0267711226;0;0.3113081455;0.2000000477;0
0.0267919563;-0.4917562008;0.3868403435;0.2000000477;0
0.0268127900;-0.9500000477;0.4360098839;0.2000000477;0
0.0268336236;-1.34350276;0.455466032;0.2000000477;0
0.0268544573;-1.645448208;0.4438829422;0.2000000477;0
0.0268752910;-1.835258961;0.4020500183;0.2000000477;0
0.0268961247;-1.899999857;0.3328180313;0.2000000477;0
0.0269169584;-1.835258961;0.240904808;0.2000000477;0
0.0269377921;-1.645448208;0.1325743198;0.2000000477;0
0.0269586258;-1.34350276;0.015209198;0.2000000477;0
0.0269794594;-0.9500000477;-0.1031923294;0.2000000477;0
0.0270002931;-0.4917562008;-0.2145617008;0.2000000477;0
0.0270211268;0;-0.3113090992;0.2000000477;0
0.0270419605;0.4917562008;-0.3868412971;0.2000000477;0
0.0270627942;0.9500000477;-0.4360108376;0.2000000477;0
0.0270836279;1.343502998;-0.4554669857;0.2000000477;0
0.0271044616;1.645448208;-0.4438838959;0.2000000477;0
0.0271252953;1.835259199;-0.402050972;0.2000000477;0
0.0271461289;1.900000095;-0.332818985;0.2000000477;0
0.0271669626;1.835259199;-0.2409057617;0.2000000477;0
0.0271877963;1.645448208;-0.1325752735;0.2000000477;0
0.0272086300;1.343502998;-0.01521015167;0.2000000477;0
0.0272294637;0.9500000477;0.1031916142;0.2000000477;0
0.0272502974;0.4917562008;0.214561224;0.2000000477;0
0.0272711311;0;0.3113088608;0.2000000477;0
0.0272919647;-0.4917562008;0.3868412971;0.2000000477;0
0.0273127984;-0.9500000477;0.436011076;0.2000000477;0
0.0273336321;-1.34350276;0.4554674625;0.2000000477;0
0.0273544658;-1.645448208;0.4438846111;0.2000000477;0
0.0273752995;-1.835258961;0.4020519257;0.2000000477;0
0.0273961332;-1.899999857;0.3328201771;0.2000000477;0
0.0274169669;-1.835258961;0.2409071922;0.2000000477;0
0.0274378005;-1.645448208;0.1325769424;0.2000000477;0
0.0274586342;-1.34350276;0.0152118206;0.2000000477;0
0.0274794679;-0.9500000477;-0.1031899452;0.2000000477;0
0.0275003016;-0.4917562008;-0.2145595551;0.2000000477;0
0.0275211353;0;-0.3113071918;0.2000000477;0
0.0275419690;0.4917562008;-0.3868396282;0.2000000477;0
0.0275628027;0.9500000477;-0.436009407;0.2000000477;0
0.0275836363;1.343502998;-0.4554657936;0.2000000477;0
0.0276044700;1.645448208;-0.4438829422;0.2000000477;0
0.0276253037;1.835259199;-0.4020502567;0.2000000477;0
0.0276461374;1.900000095;-0.3328185081;0.2000000477;0
0.0276669711;1.835259199;-0.2409055233;0.2000000477;0
0.0276878048;1.645448208;-0.1325752735;0.2000000477;0
0.0277086385;1.343502998;-0.01521039009;0.2000000477;0
0.0277294721;0.9500000477;0.1031911373;0.2000000477;0
0.0277503058;0.4917562008;0.2145605087;0.2000000477;0
0.0277711395;0;0.3113079071;0.2000000477;0
0.0277919732;-0.4917562008;0.3868401051;0.2000000477;0
0.0278128069;-0.9500000477;0.4360096455;0.2000000477;0
